training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
31;9;35;131;27;50764;-27;-27
31;10;43;154;33;48224;-33;-33
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
32;1;64;176;31;47724;-31;-31
32;2;53;163;28;49300;-28;-28
32;3;60;161;30;48628;-30;-30
32;4;42;147;26;50316;-26;-26
32;5;66;166;33;43916;-33;-33
32;6;34;97;19;55172;-19;-19
32;7;59;157;28;49496;-28;-28
32;8;49;165;30;48476;-30;-30
32;9;42;129;23;52480;-23;-23
32;10;57;170;31;47748;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
33;1;46;152;30;49140;-30;-30
33;2;35;134;24;51604;-24;-24
33;3;36;164;31;45900;-31;-31
33;4;24;158;28;49552;-28;-28
33;5;49;152;30;49224;-30;-30
33;6;24;116;22;53336;-22;-22
33;7;31;163;29;48984;-29;-29
33;8;25;180;31;47480;-31;-31
33;9;36;147;27;50228;-27;-27
33;10;40;186;34;46260;-34;-34
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
34;1;64;161;28;49684;-28;-28
34;2;52;155;26;50468;-26;-26
34;3;56;151;28;49928;-28;-28
34;4;45;158;27;50140;-27;-27
34;5;39;158;31;48580;-31;-31
34;6;31;102;19;54940;-19;-19
34;7;55;169;30;48640;-30;-30
34;8;49;144;25;39128;-25;-25
34;9;47;120;22;52968;-22;-22
34;10;77;206;38;41612;-38;-38
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
35;1;43;157;27;49804;-27;-27
35;2;51;140;23;51452;-23;-23
35;3;50;159;31;48764;-31;-31
35;4;54;172;28;48772;-28;-28
35;5;62;185;32;36800;-32;-32
35;6;33;102;19;54804;-19;-19
35;7;45;164;27;49024;-27;-27
35;8;41;175;30;47836;-30;-30
35;9;36;126;21;52744;-21;-21
35;10;60;182;31;47292;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
36;1;36;124;27;51636;-27;-27
36;2;29;109;23;53244;-23;-23
36;3;31;119;28;51636;-28;-28
36;4;32;119;27;52064;-27;-27
36;5;49;271;31;45472;-31;-31
36;6;20;143;26;51064;-26;-26
36;7;50;148;34;47852;-34;-34
36;8;52;157;34;48084;-34;-34
36;9;23;101;21;54112;-21;-21
36;10;36;139;29;50448;-29;-29
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
37;1;30;158;28;49528;-28;-28
