training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
36;1;170;190;33;4340;-9;9
36;2;175;237;36;10064;6;-6
36;3;182;240;38;11780;-4;4
36;4;202;227;41;10624;-1;1
36;5;165;214;35;8340;7;-7
36;6;173;223;36;9240;-6;6
36;7;169;193;32;8340;-10;10
36;8;180;199;39;6960;3;-3
36;9;197;209;41;12816;-1;1
36;10;166;186;35;5560;7;-7
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
37;1;163;190;33;9856;9;-9
37;2;178;205;35;10308;-7;7
37;3;168;197;35;2904;-7;7
37;4;201;212;36;19780;-6;6
37;5;209;273;41;12952;-1;1
37;6;226;255;41;20524;1;-1
37;7;167;189;33;7448;9;-9
37;8;198;207;38;9184;-4;4
37;9;199;209;37;10520;-5;5
37;10;135;159;29;2300;13;-13
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
38;1;191;198;39;3140;3;-3
38;2;212;222;36;4672;6;-6
38;3;235;239;40;6416;-2;2
38;4;197;209;36;2532;6;-6
38;5;228;224;40;2920;2;-2
38;6;209;216;37;3644;-5;5
38;7;210;235;40;4492;-2;2
38;8;167;189;32;6428;10;-10
38;9;206;240;39;2748;-3;3
38;10;205;240;40;4084;2;-2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
39;1;176;215;34;5300;8;-8
39;2;204;230;40;6684;2;-2
39;3;216;231;40;4964;2;-2
39;4;193;224;37;6404;-5;5
39;5;180;244;38;7396;-4;4
39;6;183;199;36;3976;-6;6
39;7;226;231;41;6796;1;-1
39;8;217;267;41;4100;-1;1
39;9;180;202;37;12668;-5;5
39;10;201;200;40;5744;2;-2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
40;1;180;181;40;10900;-2;2
40;2;178;202;34;7992;-8;8
40;3;133;136;27;6392;-15;15
40;4;158;168;30;3696;-12;12
40;5;189;210;37;12456;-5;5
40;6;144;167;30;6124;-12;12
40;7;188;201;35;12024;-7;7
40;8;203;226;40;12628;-2;2
40;9;189;252;38;25568;4;-4
40;10;197;200;37;8080;-5;5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
41;1;233;232;38;15676;4;-4
41;2;176;179;35;26892;-7;7
41;3;146;181;33;22072;9;-9
41;4;174;184;32;25164;-10;10
41;5;167;206;41;19164;-1;1
41;6;171;187;39;38588;-3;3
41;7;154;160;28;18816;-14;14
41;8;168;184;35;19356;-7;7
41;9;188;198;33;42060;-9;9
41;10;200;192;34;17488;8;-8
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
42;1;200;216;35;4184;-7;7
42;2;194;230;40;8924;2;-2
42;3;227;201;39;7508;-3;3
42;4;204;238;36;5124;-6;6
42;5;186;181;37;5948;-5;5
42;6;225;207;35;4452;7;-7
42;7;194;171;32;5308;-10;10
42;8;176;188;33;8420;9;-9
42;9;193;170;36;3692;-6;6
42;10;189;191;37;6616;5;-5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
43;1;241;251;40;2536;-2;2
43;2;230;265;39;2452;-3;3
43;3;256;241;41;3292;-1;1
43;4;230;233;34;2128;-8;8
43;5;246;254;40;2552;-2;2
43;6;252;250;41;3244;-1;1
43;7;224;228;35;3500;7;-7
43;8;244;254;40;5768;-2;2
43;9;251;243;40;2760;-2;2
43;10;222;208;38;4880;4;-4
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
44;1;182;192;35;13912;7;-7
44;2;202;206;32;33552;-10;10
44;3;218;203;34;13452;8;-8
44;4;203;251;36;20388;-6;6
44;5;220;235;38;18264;-4;4
44;6;238;294;41;28592;-1;1
44;7;237;253;39;17996;3;-3
44;8;218;240;37;10572;-5;5
44;9;217;248;40;24388;-2;2
44;10;245;225;39;6292;3;-3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
45;1;205;256;37;5932;5;-5
45;2;211;276;40;22564;2;-2
45;3;170;207;33;12120;9;-9
45;4;146;178;31;10508;-11;11
45;5;195;232;37;4628;-5;5
45;6;209;245;41;4060;-1;1
45;7;230;257;39;9316;3;-3
45;8;210;270;39;6500;3;-3
45;9;167;247;38;9180;-4;4
45;10;178;202;31;5704;-11;11
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
46;1;219;242;37;16916;5;-5
46;2;234;265;40;25588;-2;2
46;3;211;264;36;16456;6;-6
46;4;248;254;41;16968;-1;1
46;5;208;247;35;9668;7;-7
46;6;215;242;37;24380;-5;5
46;7;181;201;40;24960;-2;2
46;8;234;271;38;9484;4;-4
46;9;221;264;38;21184;4;-4
46;10;226;250;40;20972;-2;2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
47;1;238;239;37;18976;-5;5
47;2;184;199;35;35800;-7;7
47;3;223;238;36;12888;6;-6
47;4;254;279;40;31696;-2;2
47;5;225;255;36;16232;6;-6
47;6;238;266;40;19848;-2;2
47;7;201;202;32;18508;10;-10
47;8;240;288;39;17004;3;-3
47;9;201;247;39;35304;-3;3
47;10;215;239;37;20016;5;-5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
48;1;201;238;37;7640;-5;5
48;2;180;199;37;11968;5;-5
48;3;201;237;39;10472;-3;3
48;4;205;242;40;9812;-2;2
48;5;228;282;41;7808;-1;1
48;6;195;225;41;9904;-1;1
48;7;211;301;40;10096;-2;2
48;8;143;156;28;2216;14;-14
48;9;214;252;41;3836;1;-1
48;10;225;256;40;5816;2;-2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
49;1;167;209;33;2316;9;-9
49;2;154;213;32;7108;-10;10
49;3;221;242;40;5120;-2;2
49;4;255;305;41;4412;1;-1
49;5;206;267;39;3680;-3;3
49;6;213;244;36;2704;6;-6
49;7;215;258;36;2872;-6;6
49;8;209;259;41;2860;1;-1
49;9;167;223;33;2980;9;-9
49;10;221;289;41;2644;-1;1
