training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
34;6;148;174;35;11340;-3,5;-14
34;7;131;147;33;7720;-1,5;-15
34;8;164;194;40;6804;-11,5;-8,5
34;9;171;194;38;13328;-6,5;-12,5
34;10;161;179;40;7004;-8,5;-11,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
35;1;166;225;40;26028;-8,5;-11,5
35;2;158;197;37;44736;-13;-5,5
35;3;170;190;39;37372;-12;-7,5
35;4;141;181;34;23696;-2,5;-14,5
35;5;146;194;36;37684;-13,5;-4,5
35;6;159;182;21;48084;4,5;-21
35;7;140;163;28;11736;3,5;-17,5
35;8;190;229;41;32348;-9,5;-11
35;9;178;180;35;41456;-14;-3,5
35;10;150;212;39;35336;-12;-7,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
36;1;144;166;32;41152;-0,5;-15,5
36;2;163;200;35;45196;-14;-3,5
36;3;136;170;21;49448;4,5;-20
36;4;183;201;24;45788;6;-24
36;5;193;211;40;41272;-8,5;-11,5
36;6;93;111;13;54552;0,5;-11,5
36;7;151;175;24;47868;6;-23
36;8;134;180;34;32244;-2,5;-14,5
36;9;153;169;21;48988;4,5;-20
36;10;166;189;20;47660;4;-19
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
37;1;168;217;21;47576;4,5;-21,5
37;2;179;191;32;45104;-0,5;-15,5
37;3;142;159;21;50384;4,5;-20,5
37;4;164;187;23;48380;5,5;-22
37;5;168;195;36;41356;-4,5;-13,5
37;6;89;112;10;55160;-1;-8,5
37;7;143;188;35;42920;-14;-3,5
37;8;162;207;24;47080;6;-24,5
37;9;126;158;15;51948;1,5;-16
37;10;187;202;35;43192;-14;-3,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
38;1;154;226;39;31824;-7,5;-12
38;2;109;144;30;27428;1,5;-16,5
38;3;117;157;30;37548;1,5;-16,5
38;4;101;154;25;25572;6,5;-19
38;5;174;192;40;34444;-11,5;-8,5
38;6;112;140;28;51144;3,5;-17,5
38;7;148;160;36;35756;-4,5;-13,5
38;8;134;183;33;23972;-1,5;-15
38;9;123;167;20;50620;4;-19
38;10;166;215;41;43856;-11;-9,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
39;1;177;224;37;41240;-13;-5,5
39;2;153;198;21;47008;4,5;-21
39;3;160;201;24;45776;6;-25,5
39;4;149;208;22;46172;5;-22
39;5;162;214;39;31788;-12;-7,5
39;6;109;179;16;49536;2;-14,5
39;7;161;220;37;32072;-13;-5,5
39;8;131;221;34;35416;-2,5;-14,5
39;9;149;235;35;41996;-14;-3,5
39;10;172;209;35;38608;-3,5;-14
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
40;1;194;171;31;5116;-16;0,5
40;2;162;185;36;9552;-13,5;-4,5
40;3;161;166;33;9216;-15;-1,5
40;4;202;192;38;11068;-12,5;-6,5
40;5;196;209;33;3828;-15;-1,5
40;6;163;157;29;8860;-17;2,5
40;7;227;244;39;11296;-12;-7,5
40;8;192;216;36;10500;-13,5;-4,5
40;9;202;203;35;14552;-14;-3,5
40;10;205;223;39;7244;-12;-7,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
41;1;230;230;41;6516;-11;-9,5
41;2;133;141;27;2688;-18;4,5
41;3;192;201;37;4516;-13;-5,5
41;4;204;190;32;3864;-0,5;-15,5
41;5;181;167;31;2344;0,5;-16
41;6;186;173;31;4836;-16;0,5
41;7;192;171;36;6040;-13,5;-4,5
41;8;225;253;40;4732;-8,5;-11,5
41;9;184;203;33;3352;-1,5;-15
41;10;198;180;37;4536;-13;-5,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
42;1;187;227;40;11552;-11,5;-8,5
42;2;180;159;34;2292;-14,5;-2,5
42;3;179;190;37;6556;-5,5;-13
42;4;199;256;40;4536;-8,5;-11,5
42;5;189;212;41;4464;-11;-9,5
42;6;194;233;41;9604;-11;-9,5
42;7;200;241;40;5228;-11,5;-8,5
42;8;175;187;34;4316;-2,5;-14,5
42;9;203;249;40;9876;-11,5;-8,5
42;10;176;201;36;3780;-13,5;-4,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
43;1;218;223;38;7544;-6,5;-12,5
43;2;228;226;37;3440;-13;-5,5
43;3;246;227;38;5288;-12,5;-6,5
43;4;228;211;36;2788;-4,5;-13,5
43;5;240;228;41;5228;-9,5;-11
43;6;230;212;36;3156;-4,5;-13,5
43;7;188;185;38;2380;-6,5;-12,5
43;8;203;199;40;3868;-8,5;-11,5
43;9;226;224;39;3904;-12;-7,5
43;10;195;197;37;3528;-5,5;-13
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
44;1;191;252;37;6680;-5,5;-13
44;2;156;194;31;3432;-16;0,5
44;3;205;235;36;10376;-4,5;-13,5
44;4;209;255;39;8384;-7,5;-12
44;5;198;239;38;7896;-6,5;-12,5
44;6;194;257;41;16860;-11;-9,5
44;7;198;235;39;11512;-12;-7,5
44;8;206;256;41;8644;-11;-9,5
44;9;181;218;40;14412;-8,5;-11,5
44;10;193;207;37;10648;-5,5;-13
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
45;1;155;191;32;21620;-15,5;-0,5
45;2;178;183;33;28708;-15;-1,5
